manufacturer,model_year,body_type,transmission_type,fuel_type,total_kms,total_owners,price,insurance_type,mileage(kmpl),engine(CC),torque(nm),seats,number_of_cylinders,valves_per_cylinder,super_charger,turbo_charger,drive_type,steering_type,cargo_volume,location
Mercedes-Benz,2019,Sedan,Automatic,Diesel,12000,1,4425000.0,Comprehensive,12.6,1950.0,400.0,5.0,4,4,No,Yes,RWD,Power,480.0,Bangalore
Maruti,2015,Hatchback,Manual,Petrol,40987,2,406000.0,Comprehensive,20.51,998.0,90.0,5.0,3,4,No,No,FWD,Power,180.0,Bangalore
BMW,2020,Sedan,Automatic,Petrol,18157,1,4965000.0,Zero Dep,15.56,1998.0,350.0,5.0,4,4,No,Yes,RWD,Power,520.0,Bangalore
Toyota,2011,SUV,Manual,Diesel,120000,3,1100000.0,Third Party insurance,11.5,2982.0,343.0,7.0,4,4,No,Yes,4WD,Power,520.0,Bangalore
Renault,2020,SUV,Automatic,Diesel,40000,2,1100000.0,Third Party insurance,19.87,1461.0,245.0,5.0,4,4,No,No,FWD,Power,475.0,Bangalore
Hyundai,2016,Hatchback,Manual,Petrol,89667,1,594000.0,Comprehensive,18.6,1197.0,114.7,5.0,4,4,No,No,FWD,Power,295.0,Bangalore
Hyundai,2017,Hatchback,Manual,Diesel,120000,1,710000.0,Third Party insurance,22.54,1396.0,219.7,5.0,4,4,No,Yes,FWD,Power,295.0,Bangalore
Maruti,2017,Hatchback,Manual,Petrol,56997,1,692000.0,Zero Dep,21.4,1197.0,115.0,5.0,4,4,No,No,FWD,Power,339.0,Bangalore
Hyundai,2013,Sedan,Manual,Petrol,120000,1,650000.0,Third Party insurance,16.3,1797.0,177.5,5.0,4,4,No,No,FWD,Power,420.0,Bangalore
Audi,2015,Sedan,Automatic,Diesel,59000,1,2090000.0,Third Party insurance,18.53,1968.0,400.0,5.0,4,4,No,Yes,FWD,Power,530.0,Bangalore
Maruti,2021,Hatchback,Manual,Petrol,18835,1,411000.0,Zero Dep,22.05,796.0,69.0,5.0,3,4,No,Yes,FWD,Power,530.0,Bangalore
Mahindra,2010,SUV,Manual,Diesel,120000,2,650000.0,Third Party insurance,12.05,2179.0,290.0,7.0,4,4,No,Yes,Two Wheel Drive,Power,530.0,Bangalore
Mini,2016,Hatchback,Automatic,Petrol,40000,1,3675000.0,Comprehensive,17.33,1998.0,280.0,4.0,4,4,No,Yes,Two Wheel Drive,Electronic,211.0,Bangalore
Tata,2019,Hatchback,Manual,Petrol,60932,1,610000.0,Comprehensive,23.84,1199.0,114.0,5.0,3,4,No,No,FWD,Power,242.0,Bangalore
Kia,2020,SUV,Automatic,Petrol,33539,2,1675000.0,Comprehensive,16.5,1353.0,242.0,5.0,4,4,No,Yes,FWD,Electronic,433.0,Bangalore
Tata,2018,Hatchback,Manual,Petrol,66837,2,530000.0,Comprehensive,23.84,1199.0,114.0,5.0,3,4,No,No,FWD,Power,242.0,Bangalore
Mercedes-Benz,2022,Sedan,Automatic,Diesel,400,1,7990000.0,Third Party insurance,23.84,2925.0,600.0,5.0,6,4,No,Yes,FWD,Electronic,242.0,Bangalore
Maruti,2008,Hatchback,Manual,Petrol,60000,2,250000.0,Third Party insurance,19.7,796.0,62.0,5.0,3,4,No,No,FWD,Power,242.0,Bangalore
Hyundai,2019,Hatchback,Manual,Petrol,44285,1,715000.0,Third Party insurance,18.6,1197.0,117.0,5.0,4,4,No,No,FWD,Power,285.0,Bangalore
Mercedes-Benz,2014,SUV,Automatic,Diesel,100000,2,3500000.0,Third Party insurance,11.3,2987.0,619.0,7.0,6,4,No,Yes,All Wheel Drive,Power,680.0,Bangalore
Tata,2021,SUV,Automatic,Diesel,25000,1,2250000.0,Comprehensive,14.08,1956.0,350.0,6.0,4,4,No,Yes,All Wheel Drive,Power,73.0,Bangalore
Hyundai,2018,Hatchback,Manual,Petrol,36735,1,625000.0,Comprehensive,18.9,1197.0,113.75,5.0,4,4,No,No,FWD,Power,256.0,Bangalore
Audi,2015,SUV,Automatic,Diesel,79000,1,2695000.0,Comprehensive,12.07,2967.0,550.0,7.0,6,4,No,Yes,All Wheel Drive,Power,330.0,Bangalore
Mahindra,2010,SUV,Manual,Diesel,120000,2,650000.0,Third Party insurance,12.05,2179.0,290.0,8.0,4,4,No,Yes,FWD,Power,330.0,Bangalore
Renault,2022,Hatchback,Automatic,Petrol,10000,1,550000.0,Third Party insurance,22.0,999.0,91.0,5.0,3,4,No,No,FWD,Electronic,279.0,Bangalore
Tata,2018,SUV,Manual,Diesel,53645,1,825000.0,Comprehensive,21.5,1497.0,260.0,5.0,4,4,No,Yes,FWD,Power,350.0,Bangalore
Hyundai,2006,Hatchback,Manual,Petrol,100000,2,220000.0,Third Party insurance,15.3,1341.0,115.0,5.0,4,3,No,No,FWD,Power,350.0,Bangalore
