manufacturer,model_year,body_type,transmission_type,fuel_type,total_kms,total_owners,price,insurance_type,mileage(kmpl),engine(CC),torque(nm),seats,number_of_cylinders,valves_per_cylinder,super_charger,turbo_charger,drive_type,steering_type,cargo_volume,location
Maruti,2016,Hatchback,Automatic,Petrol,34000,1,485000.0,Comprehensive,23.1,998.0,90.0,5.0,3,4,No,No,FWD,Power,235.0,Chennai
Maruti,2017,Hatchback,Manual,Petrol,29973,1,460000.0,Comprehensive,23.1,998.0,90.0,5.0,3,4,No,No,FWD,Power,235.0,Chennai
Honda,2021,Sedan,Manual,Petrol,30000,1,1265000.0,Third Party insurance,18.6,1498.0,145.0,5.0,4,4,No,No,FWD,Electronic,506.0,Chennai
Hyundai,2016,Hatchback,Manual,Diesel,80805,2,567000.0,Comprehensive,21.19,1396.0,219.66,5.0,4,4,No,Yes,FWD,Power,285.0,Chennai
Tata,2020,Hatchback,Manual,Petrol,26235,1,619000.0,Comprehensive,23.84,1199.0,114.0,5.0,3,4,No,No,FWD,Power,242.0,Chennai
Hyundai,2018,SUV,Manual,Petrol,83294,1,835000.0,Comprehensive,15.8,1591.0,151.0,5.0,4,4,No,No,FWD,Power,400.0,Chennai
MG,2021,SUV,Manual,Diesel,17963,2,1703000.0,Third Party insurance,17.41,1956.0,350.0,5.0,4,4,No,Yes,FWD,Power,587.0,Chennai
Maruti,2019,Hatchback,Manual,Petrol,102696,1,635000.0,Comprehensive,21.4,1197.0,115.0,5.0,4,4,No,No,FWD,Power,339.0,Chennai
Hyundai,2019,Hatchback,Manual,Diesel,57206,2,635000.0,Comprehensive,22.54,1396.0,224.0,5.0,4,4,No,Yes,FWD,Power,285.0,Chennai
Ford,2013,Hatchback,Manual,Diesel,120000,2,300000.0,Third Party insurance,20.0,1399.0,160.0,5.0,4,2,No,Yes,FWD,Power,284.0,Chennai
Hyundai,2017,Hatchback,Manual,Petrol,81829,1,657000.0,Comprehensive,18.6,1197.0,114.7,5.0,4,4,No,No,FWD,Power,295.0,Chennai
Maruti,2014,Hatchback,Manual,Petrol,54395,2,390000.0,Third Party insurance,25.24,998.0,89.0,5.0,3,4,No,No,FWD,Electronic,313.0,Chennai
Tata,2019,Sedan,Manual,Diesel,50000,1,620000.0,Third Party insurance,24.7,1047.0,140.0,5.0,3,4,No,Yes,FWD,Power,419.0,Chennai
Volkswagen,2017,Sedan,Manual,Petrol,70000,2,465000.0,Third Party insurance,17.0,1198.0,110.0,5.0,3,4,No,No,FWD,Power,330.0,Chennai
Hyundai,2015,Hatchback,Manual,Petrol,36000,1,590000.0,Comprehensive,18.6,1197.0,114.7,5.0,4,4,No,No,FWD,Power,295.0,Chennai
Isuzu,2016,SUV,Manual,Diesel,125000,2,950000.0,Comprehensive,12.08,2999.0,360.0,7.0,4,4,No,Yes,RWD,Power,295.0,Chennai
Mercedes-Benz,2018,Sedan,Automatic,Diesel,75000,2,2150000.0,Comprehensive,17.9,2143.0,300.0,5.0,4,4,No,Yes,FWD,Power,470.0,Chennai
Mercedes-Benz,2018,Sedan,Automatic,Diesel,45007,1,4600000.0,Comprehensive,16.1,1950.0,400.0,5.0,4,4,No,Yes,RWD,Electronic,540.0,Chennai
Honda,2016,Sedan,Manual,Petrol,49617,1,490000.0,Comprehensive,19.5,1199.0,110.0,5.0,4,4,No,No,FWD,Power,420.0,Chennai
Toyota,2016,Sedan,Manual,Petrol,57782,1,620000.0,Comprehensive,16.78,1496.0,132.0,5.0,4,4,No,No,FWD,Power,595.0,Chennai
Skoda,2015,Sedan,Automatic,Diesel,38000,1,1950000.0,Comprehensive,17.2,1968.0,320.0,5.0,4,4,No,Yes,FWD,Power,565.0,Chennai
BMW,2008,Sedan,Automatic,Diesel,110000,3,680000.0,Third Party insurance,11.5,2993.0,51.0,5.0,4,4,Yes,No,FWD,Power,520.0,Chennai
Honda,2018,Hatchback,Manual,Petrol,22066,2,594000.0,Third Party insurance,18.7,1199.0,110.0,5.0,4,4,No,No,FWD,Power,354.0,Chennai
Hyundai,2016,Hatchback,Manual,Petrol,65707,1,536000.0,Comprehensive,18.6,1197.0,114.7,5.0,4,4,No,No,FWD,Power,295.0,Chennai
Maruti,2015,Hatchback,Manual,Petrol,89488,1,365000.0,Third Party insurance,23.1,998.0,90.0,5.0,3,4,No,No,FWD,Power,235.0,Chennai
Maruti,2017,Hatchback,Automatic,Petrol,88663,2,544000.0,Comprehensive,20.89,1197.0,113.0,5.0,4,4,No,No,FWD,Electronic,260.0,Chennai
Tata,2020,Hatchback,Manual,Petrol,31679,1,566000.0,Comprehensive,23.84,1199.0,114.0,5.0,3,4,No,No,FWD,Power,242.0,Chennai
Hyundai,2013,Hatchback,Manual,Petrol,68178,1,420000.0,Comprehensive,18.9,1197.0,114.0,5.0,4,4,No,No,FWD,Power,256.0,Chennai
Honda,2017,Sedan,Manual,Petrol,61279,2,748000.0,Comprehensive,17.8,1497.0,145.0,5.0,4,4,No,No,FWD,Power,510.0,Chennai
Honda,2021,Sedan,Manual,Petrol,8963,1,880000.0,Comprehensive,18.6,1199.0,110.0,5.0,4,4,No,No,FWD,Electronic,420.0,Chennai
Maruti,2017,Sedan,Manual,Petrol,80281,1,616000.0,Third Party insurance,21.21,1197.0,113.0,5.0,4,4,No,No,FWD,Power,378.0,Chennai
MG,2020,SUV,Manual,Petrol,50580,1,1554000.0,Third Party insurance,14.16,1451.0,250.0,5.0,4,4,No,Yes,FWD,Power,378.0,Chennai
Mini,2014,Hatchback,Automatic,Petrol,21000,1,2100000.0,Comprehensive,19.23,1598.0,153.0,5.0,4,2,No,Yes,FWD,Power,350.0,Chennai
Audi,2016,SUV,Automatic,Diesel,55000,1,2175000.0,Comprehensive,15.73,1968.0,380.0,5.0,4,4,No,Yes,All Wheel Drive,Power,460.0,Chennai
Mercedes-Benz,2018,SUV,Automatic,Diesel,70000,2,4200000.0,Third Party insurance,17.9,2143.0,500.0,5.0,4,4,No,Yes,All Wheel Drive,Power,690.0,Chennai
Audi,2019,SUV,Automatic,Petrol,58000,1,4300000.0,Comprehensive,8.5,1984.0,370.0,5.0,4,4,No,Yes,All Wheel Drive,Power,550.0,Chennai
Volkswagen,2018,Sedan,Manual,Petrol,65224,1,725000.0,Comprehensive,16.09,1598.0,153.0,5.0,4,4,No,No,FWD,Power,494.0,Chennai
Maruti,2010,Hatchback,Manual,Petrol,120000,1,275000.0,Third Party insurance,21.1,1197.0,114.0,5.0,4,4,No,No,FWD,Power,232.0,Chennai
BMW,2018,SUV,Automatic,Diesel,42001,1,5750000.0,Comprehensive,15.97,2993.0,560.0,5.0,6,4,No,Yes,4WD,Power,650.0,Chennai
Maruti,2017,Sedan,Manual,Petrol,30316,1,635000.0,Comprehensive,19.0,1197.0,114.0,5.0,4,4,No,No,FWD,Power,320.0,Chennai
Mercedes-Benz,2013,Sedan,Automatic,Diesel,64000,3,1800000.0,Comprehensive,13.0,2143.0,500.0,5.0,4,4,No,Yes,RWD,Power,540.0,Chennai
Volvo,2015,Sedan,Automatic,Diesel,40000,1,1900000.0,Comprehensive,9.0,1984.0,400.0,5.0,4,4,No,Yes,FWD,Power,380.0,Chennai
Maruti,2017,Hatchback,Manual,Petrol,100526,1,510000.0,Comprehensive,22.38,1197.0,113.0,5.0,4,4,No,Yes,FWD,Electronic,268.0,Chennai
Maruti,2021,Hatchback,Manual,Petrol,17273,1,817000.0,Comprehensive,22.38,1197.0,113.0,5.0,4,4,No,Yes,FWD,Electronic,268.0,Chennai
Maruti,2018,SUV,Manual,Diesel,107737,1,850000.0,Third Party insurance,23.65,1248.0,200.0,5.0,4,4,No,Yes,FWD,Power,353.0,Chennai
Ford,2016,SUV,Manual,Petrol,111586,2,539000.0,Comprehensive,15.85,1499.0,140.0,5.0,4,4,No,No,FWD,Power,346.0,Chennai
Maruti,2017,Hatchback,Automatic,Petrol,73369,2,538000.0,Third Party insurance,21.4,1197.0,115.0,5.0,4,4,No,No,FWD,Power,339.0,Chennai
Maruti,2012,Hatchback,Manual,Petrol,63697,1,235000.0,Comprehensive,19.7,796.0,62.0,5.0,3,4,No,No,FWD,Power,339.0,Chennai
Hyundai,2018,Hatchback,Manual,Petrol,45224,1,666000.0,Comprehensive,18.6,1197.0,114.7,5.0,4,4,No,No,FWD,Power,295.0,Chennai
Ford,2010,Hatchback,Manual,Diesel,110701,2,210000.0,Comprehensive,20.0,1399.0,160.0,5.0,4,4,No,No,Front Wheel Drive,Power,284.0,Chennai
Maruti,2016,Hatchback,Manual,Petrol,49124,2,413000.0,Third Party insurance,20.51,998.0,90.0,5.0,3,4,No,No,FWD,Power,180.0,Chennai
Maruti,2016,Sedan,Manual,Petrol,96861,1,505000.0,Comprehensive,22.41,1197.0,113.0,5.0,4,4,No,No,FWD,Electronic,378.0,Chennai
Hyundai,2009,Hatchback,Manual,Petrol,64636,2,300000.0,Comprehensive,20.36,1197.0,111.8,5.0,4,4,No,No,FWD,Power,378.0,Chennai
Audi,2014,Sedan,Automatic,Diesel,134000,1,890000.0,Third Party insurance,17.68,1968.0,380.0,5.0,4,4,No,Yes,FWD,Power,530.0,Chennai
Maruti,2002,Hatchback,Manual,Petrol,20000,1,140000.0,Comprehensive,16.1,796.0,59.0,4.0,3,2,No,No,FWD,Manual,530.0,Chennai
Renault,2022,SUV,Automatic,Petrol,14118,1,810000.0,Comprehensive,19.03,999.0,96.0,5.0,3,4,No,No,FWD,Electronic,405.0,Chennai
Jeep,2023,SUV,Automatic,Diesel,1200,1,4100000.0,Comprehensive,19.03,1956.0,350.0,7.0,4,4,No,Yes,4x2,Electronic,405.0,Chennai
Ford,2018,SUV,Automatic,Petrol,36000,2,725000.0,Comprehensive,14.8,1497.0,150.0,5.0,3,4,No,No,FWD,Power,352.0,Chennai
Skoda,2022,SUV,Automatic,Petrol,10000,1,1755000.0,Comprehensive,17.2,999.0,178.0,5.0,3,4,No,Yes,FWD,Electronic,385.0,Chennai
Kia,2019,SUV,Manual,Petrol,50000,1,1050000.0,Third Party insurance,16.8,1497.0,144.0,5.0,4,4,No,No,FWD,Electronic,433.0,Chennai
Toyota,2021,SUV,Manual,Petrol,30000,1,1000000.0,Third Party insurance,17.03,1462.0,138.0,5.0,4,4,No,No,FWD,Electronic,328.0,Chennai
Skoda,2018,Sedan,Automatic,Petrol,29000,1,850000.0,Third Party insurance,14.84,1598.0,153.0,5.0,4,4,No,No,FWD,Power,460.0,Chennai
Hyundai,2014,Hatchback,Manual,Petrol,55940,2,508000.0,Third Party insurance,18.6,1197.0,114.7,5.0,4,4,No,No,FWD,Power,295.0,Chennai
Honda,2018,Sedan,Manual,Diesel,115915,2,851000.0,Third Party insurance,25.6,1498.0,200.0,5.0,4,4,No,Yes,FWD,Power,510.0,Chennai
Renault,2022,Hatchback,Automatic,Petrol,1000,1,625000.0,Comprehensive,22.3,999.0,91.0,5.0,3,4,No,Yes,FWD,Electronic,279.0,Chennai
Honda,2016,Hatchback,Automatic,Petrol,96184,2,560000.0,Comprehensive,19.0,1199.0,110.0,5.0,4,4,No,No,FWD,Power,354.0,Chennai
Hyundai,2014,Hatchback,Manual,Petrol,87780,1,335000.0,Comprehensive,19.81,1086.0,99.04,5.0,4,3,No,No,FWD,Power,225.0,Chennai
Hyundai,2015,Hatchback,Manual,Petrol,118921,1,445000.0,Comprehensive,18.6,1197.0,114.7,5.0,4,4,No,No,FWD,Power,295.0,Chennai
Ford,2019,SUV,Manual,Diesel,73834,2,830000.0,Comprehensive,23.0,1498.0,205.0,5.0,4,4,No,Yes,FWD,Power,352.0,Chennai
Mahindra,2022,SUV,Automatic,Diesel,20000,1,1790000.0,Comprehensive,23.0,2184.0,300.0,4.0,4,4,No,Yes,4WD,Power,352.0,Chennai
Maruti,2016,Hatchback,Manual,Petrol,38514,1,630000.0,Comprehensive,21.4,1197.0,115.0,5.0,4,4,No,No,FWD,Power,339.0,Chennai
Maruti,2016,Sedan,Manual,Petrol,74401,2,527000.0,Comprehensive,22.41,1197.0,113.0,5.0,4,4,No,No,FWD,Electronic,378.0,Chennai
Hyundai,2020,SUV,Automatic,Petrol,40000,1,1320000.0,Third Party insurance,16.8,1353.0,242.0,5.0,4,4,No,Yes,FWD,Power,378.0,Chennai
Maruti,2022,Hatchback,Manual,Petrol,9000,1,860000.0,Comprehensive,22.38,1197.0,113.0,5.0,4,4,No,Yes,FWD,Electronic,268.0,Chennai
Hyundai,2017,SUV,Manual,Petrol,50000,1,766000.0,Third Party insurance,15.29,1591.0,151.0,5.0,4,4,No,No,FWD,Power,400.0,Chennai
Maruti,2020,Sedan,Manual,Petrol,40000,1,610000.0,Third Party insurance,22.41,1197.0,113.0,5.0,4,4,No,No,FWD,Electronic,378.0,Chennai
Skoda,2015,Sedan,Automatic,Diesel,80000,3,475000.0,Third Party insurance,21.66,1498.0,250.0,5.0,4,4,No,Yes,FWD,Power,460.0,Chennai
Hyundai,2014,Hatchback,Manual,Petrol,82000,2,390000.0,Third Party insurance,18.9,1197.0,114.0,5.0,4,4,No,No,FWD,Power,256.0,Chennai
Hyundai,2020,Sedan,Automatic,Petrol,32947,1,680000.0,Comprehensive,20.1,1197.0,113.8,5.0,4,4,No,No,FWD,Electronic,256.0,Chennai
Jeep,2022,SUV,Manual,Diesel,9000,1,3150000.0,Comprehensive,20.1,1956.0,350.0,7.0,4,4,No,Yes,4x2,Electronic,256.0,Chennai
Hyundai,2018,Sedan,Manual,Petrol,25000,1,855000.0,Comprehensive,17.0,1591.0,151.0,5.0,4,4,No,No,FWD,Power,480.0,Chennai
Maruti,2022,MUV,Manual,Petrol,10000,1,1200000.0,Third Party insurance,19.01,1462.0,138.0,6.0,4,4,No,No,FWD,Power,209.0,Chennai
Skoda,2022,Sedan,Manual,Petrol,8413,1,1786000.0,Zero Dep,18.72,1498.0,250.0,5.0,4,4,No,Yes,FWD,Electronic,521.0,Chennai
Hyundai,2016,Hatchback,Manual,Petrol,34460,1,614000.0,Comprehensive,18.6,1197.0,114.7,5.0,4,4,No,No,FWD,Power,295.0,Chennai
Maruti,2010,Sedan,Manual,Petrol,33886,1,340000.0,Comprehensive,17.5,1298.0,114.0,5.0,4,4,No,No,Two Wheel Drive,Power,440.0,Chennai
Hyundai,2016,Hatchback,Manual,Petrol,57910,2,558000.0,Third Party insurance,17.19,1197.0,114.73,5.0,4,4,No,No,FWD,Power,285.0,Chennai
Renault,2020,MUV,Manual,Petrol,46233,2,650000.0,Comprehensive,20.0,999.0,96.0,7.0,3,4,No,No,FWD,Electronic,84.0,Chennai
Honda,2017,Sedan,Automatic,Petrol,60000,1,950000.0,Comprehensive,18.3,1498.0,145.0,5.0,4,4,No,No,FWD,Electronic,506.0,Chennai
Maruti,2021,Hatchback,Manual,Petrol,48979,1,710000.0,Third Party insurance,22.38,1197.0,113.0,5.0,4,4,No,No,FWD,Electronic,268.0,Chennai
MG,2019,SUV,Automatic,Petrol,42000,1,1700000.0,Comprehensive,13.96,1451.0,250.0,5.0,4,4,No,Yes,FWD,Electronic,587.0,Chennai
Ford,2016,SUV,Manual,Diesel,106165,1,684000.0,Comprehensive,22.77,1498.0,205.0,5.0,4,2,No,Yes,FWD,Power,346.0,Chennai
Datsun,2018,Hatchback,Manual,Petrol,91261,1,309000.0,Third Party insurance,22.7,799.0,72.0,5.0,3,4,No,No,Two Wheel Drive,Power,222.0,Chennai
Maruti,2018,Hatchback,Manual,Petrol,36711,1,500000.0,Comprehensive,21.63,998.0,90.0,5.0,3,4,No,No,FWD,Power,235.0,Chennai
BMW,2021,Sedan,Automatic,Petrol,9000,1,5500000.0,Comprehensive,15.3,1998.0,400.0,5.0,4,4,No,Yes,RWD,Electronic,235.0,Chennai
Renault,2018,Hatchback,Manual,Petrol,49791,1,360000.0,Comprehensive,23.01,999.0,91.0,5.0,3,4,No,No,FWD,Power,300.0,Chennai
MG,2021,SUV,Manual,Diesel,40000,1,1875000.0,Third Party insurance,16.65,1956.0,350.0,6.0,4,4,No,Yes,FWD,Power,155.0,Chennai
Hyundai,2014,Sedan,Manual,Petrol,40000,2,450000.0,Third Party insurance,19.1,1197.0,114.0,5.0,4,4,No,No,Front Wheel Drive,Power,407.0,Chennai
Maruti,2018,Hatchback,Automatic,Petrol,50000,2,660000.0,Third Party insurance,21.4,1197.0,115.0,5.0,4,4,No,No,FWD,Power,339.0,Chennai
Maruti,2019,SUV,Manual,Diesel,60000,1,950000.0,Third Party insurance,24.3,1248.0,200.0,5.0,4,4,No,Yes,FWD,Power,328.0,Chennai
Volkswagen,2017,Sedan,Manual,Petrol,60000,1,500000.0,Third Party insurance,17.0,1198.0,110.0,5.0,3,4,No,No,FWD,Power,330.0,Chennai
Ford,2017,SUV,Automatic,Diesel,70000,1,2390000.0,Third Party insurance,12.62,2198.0,385.0,7.0,4,4,No,Yes,FWD,Power,330.0,Chennai
Maruti,2014,Hatchback,Manual,Petrol,107158,2,361000.0,Third Party insurance,20.51,998.0,90.0,5.0,3,4,No,No,FWD,Power,180.0,Chennai
Hyundai,2019,Hatchback,Manual,Petrol,90811,1,549000.0,Third Party insurance,18.9,1197.0,113.75,5.0,4,4,No,No,FWD,Power,256.0,Chennai
Ford,2012,Hatchback,Manual,Petrol,76454,3,210000.0,Comprehensive,15.6,1196.0,102.0,5.0,4,4,No,No,Front Wheel Drive,Power,284.0,Chennai
Maruti,2021,Hatchback,Manual,Petrol,57464,1,704000.0,Third Party insurance,22.38,1197.0,113.0,5.0,4,4,No,No,Front Wheel Drive,Electronic,268.0,Chennai
Honda,2019,Sedan,Manual,Petrol,95072,1,729000.0,Comprehensive,19.5,1199.0,110.0,5.0,4,4,No,No,FWD,Power,420.0,Chennai
Honda,2014,Sedan,Automatic,Petrol,51789,1,700000.0,Comprehensive,18.0,1497.0,145.0,5.0,4,4,No,No,FWD,Power,510.0,Chennai
Hyundai,2018,Hatchback,Manual,Petrol,56028,2,619000.0,Third Party insurance,18.6,1197.0,114.7,5.0,4,4,No,No,FWD,Power,295.0,Chennai
Honda,2017,Sedan,Manual,Petrol,60000,1,725000.0,Third Party insurance,17.8,1497.0,145.0,5.0,4,4,No,No,FWD,Power,510.0,Chennai
Hyundai,2020,Hatchback,Manual,Petrol,36460,1,621000.0,Zero Dep,20.7,1197.0,113.8,5.0,4,4,No,No,FWD,Electronic,510.0,Chennai
Honda,2020,Sedan,Manual,Petrol,103249,1,685000.0,Zero Dep,19.5,1199.0,110.0,5.0,4,4,No,No,FWD,Power,420.0,Chennai
Honda,2021,Sedan,Manual,Petrol,45568,1,950000.0,Third Party insurance,18.6,1498.0,145.0,5.0,4,4,No,No,FWD,Electronic,506.0,Chennai
Ford,2017,SUV,Automatic,Diesel,130000,1,1850000.0,Comprehensive,12.62,2198.0,385.0,7.0,4,4,No,Yes,FWD,Power,506.0,Chennai
MG,2021,SUV,Manual,Diesel,60000,1,1850000.0,Third Party insurance,16.65,1956.0,350.0,6.0,4,4,No,Yes,FWD,Power,155.0,Chennai
Skoda,2013,Sedan,Manual,Diesel,100521,1,410000.0,Comprehensive,20.5,1598.0,250.0,5.0,4,4,No,Yes,FWD,Power,460.0,Chennai
Volkswagen,2019,Sedan,Manual,Petrol,42709,1,570000.0,Comprehensive,19.44,999.0,95.0,5.0,3,4,No,No,FWD,Power,330.0,Chennai
Mahindra,2016,SUV,Manual,Diesel,150000,2,550000.0,Third Party insurance,18.49,1493.0,240.0,7.0,3,2,No,Yes,RWD,Power,384.0,Chennai
Honda,2015,Sedan,Manual,Petrol,100000,1,600000.0,Third Party insurance,17.4,1497.0,145.0,5.0,4,4,No,No,FWD,Power,510.0,Chennai
Volkswagen,2009,Sedan,Manual,Diesel,120000,3,226000.0,Third Party insurance,15.0,1896.0,25.5,5.0,4,4,No,No,FWD,Power,527.0,Chennai
Hyundai,2018,Sedan,Automatic,Petrol,30000,1,1350000.0,Comprehensive,14.62,1999.0,192.2,5.0,4,4,No,No,FWD,Power,420.0,Chennai
BMW,2016,Sedan,Automatic,Diesel,70000,1,2600000.0,Third Party insurance,22.69,1995.0,400.0,5.0,4,4,No,Yes,RWD,Power,480.0,Chennai
Hyundai,2014,Hatchback,Manual,Petrol,104279,1,365000.0,Third Party insurance,18.9,1197.0,114.0,5.0,4,4,No,No,FWD,Power,256.0,Chennai
Hyundai,2018,Hatchback,Manual,Petrol,73321,1,707000.0,Comprehensive,17.19,1197.0,114.73,5.0,4,4,No,No,FWD,Power,285.0,Chennai
Hyundai,2017,Sedan,Manual,Petrol,50000,1,800000.0,Third Party insurance,17.0,1591.0,151.0,5.0,4,4,No,No,FWD,Power,480.0,Chennai
Hyundai,2018,Hatchback,Manual,Petrol,34279,1,520000.0,Zero Dep,20.3,1086.0,99.0,5.0,4,3,No,No,FWD,Power,235.0,Chennai
Hyundai,2016,Hatchback,Manual,Petrol,55040,2,602000.0,Comprehensive,18.6,1197.0,114.7,5.0,4,4,No,No,FWD,Power,295.0,Chennai
Hyundai,2018,Sedan,Automatic,Diesel,39000,2,1050000.0,Comprehensive,22.0,1582.0,259.87,5.0,4,4,No,Yes,FWD,Power,480.0,Chennai
Hyundai,2014,Hatchback,Manual,Diesel,104336,2,546000.0,Comprehensive,22.54,1396.0,219.7,5.0,4,4,No,Yes,FWD,Power,295.0,Chennai
Volvo,2019,Sedan,Automatic,Diesel,45000,3,3475000.0,Comprehensive,18.0,1969.0,400.0,5.0,4,4,No,Yes,FWD,Power,295.0,Chennai
Honda,2020,Sedan,Manual,Petrol,69617,1,1188000.0,Third Party insurance,18.6,1498.0,145.0,5.0,4,4,No,Yes,FWD,Electronic,506.0,Chennai
Hyundai,2016,Hatchback,Manual,Petrol,47429,1,621000.0,Comprehensive,18.6,1197.0,114.7,5.0,4,4,No,No,FWD,Power,295.0,Chennai
Maruti,2015,Hatchback,Manual,Petrol,67000,1,515000.0,Comprehensive,21.21,1197.0,113.0,5.0,4,4,No,No,FWD,Electronic,268.0,Chennai
Volkswagen,2016,Hatchback,Manual,Petrol,80000,1,600000.0,Third Party insurance,16.2,1199.0,110.0,5.0,3,4,No,No,FWD,Power,280.0,Chennai
Volkswagen,2018,Hatchback,Manual,Petrol,27000,1,775000.0,Comprehensive,18.78,999.0,95.0,5.0,3,4,No,No,FWD,Power,280.0,Chennai
Ford,2016,SUV,Manual,Diesel,56000,2,645000.0,Comprehensive,22.77,1498.0,205.0,5.0,4,2,No,Yes,FWD,Power,346.0,Chennai
Honda,2018,Sedan,Manual,Petrol,33379,1,650000.0,Comprehensive,18.6,1199.0,110.0,5.0,4,4,No,No,FWD,Electronic,420.0,Chennai
Maruti,2017,Sedan,Manual,Diesel,80000,1,700000.0,Third Party insurance,28.09,1248.0,200.0,5.0,4,4,No,Yes,FWD,Power,510.0,Chennai
Hyundai,2016,Sedan,Manual,Petrol,90000,1,437000.0,Third Party insurance,19.1,1197.0,114.0,5.0,4,4,No,No,FWD,Power,407.0,Chennai
Hyundai,2015,Sedan,Manual,Petrol,50197,1,460000.0,Third Party insurance,19.1,1197.0,114.0,5.0,4,4,No,No,Front Wheel Drive,Power,407.0,Chennai
Hyundai,2012,Sedan,Manual,Petrol,80000,2,250000.0,Third Party insurance,16.36,1495.0,124.6,5.0,4,3,No,No,FWD,Power,380.0,Chennai
Ford,2017,SUV,Manual,Petrol,61120,3,566000.0,Third Party insurance,15.85,1499.0,140.0,5.0,4,4,No,No,FWD,Power,346.0,Chennai
Renault,2019,Hatchback,Manual,Petrol,55415,1,403000.0,Third Party insurance,23.01,999.0,91.0,5.0,3,4,No,No,FWD,Power,300.0,Chennai
Jaguar,2018,SUV,Automatic,Diesel,52000,1,4950000.0,Comprehensive,16.38,1999.0,430.0,5.0,4,4,No,Yes,FWD,Power,650.0,Chennai
Honda,2015,Hatchback,Manual,Petrol,48579,1,517000.0,Comprehensive,18.7,1199.0,110.0,5.0,4,4,No,No,FWD,Power,354.0,Chennai
Hyundai,2016,Sedan,Manual,Petrol,59532,2,449000.0,Third Party insurance,19.1,1197.0,114.0,5.0,4,4,No,No,Front Wheel Drive,Power,407.0,Chennai
Honda,2014,Sedan,Manual,Petrol,200300,2,455000.0,Comprehensive,17.0,1497.0,146.0,5.0,4,4,No,No,FWD,Power,506.0,Chennai
Volkswagen,2014,Sedan,Manual,Petrol,113231,1,643000.0,Third Party insurance,14.69,1390.0,200.0,5.0,4,4,No,Yes,FWD,Power,510.0,Chennai
Mahindra,2018,SUV,Manual,Diesel,106338,2,705000.0,Comprehensive,18.49,1493.0,240.0,7.0,3,2,No,Yes,RWD,Power,384.0,Chennai
Tata,2021,Hatchback,Manual,Diesel,40629,1,889000.0,Third Party insurance,23.64,1497.0,200.0,5.0,4,4,No,Yes,RWD,Electronic,345.0,Chennai
Maruti,2016,Sedan,Automatic,Diesel,73341,2,621000.0,Third Party insurance,26.59,1248.0,190.0,5.0,4,4,No,Yes,FWD,Power,320.0,Chennai
BMW,2011,Sedan,Automatic,Diesel,39001,2,1400000.0,Comprehensive,22.69,1995.0,400.0,5.0,4,4,No,Yes,RWD,Power,480.0,Chennai
Honda,2014,Sedan,Manual,Petrol,81532,1,630000.0,Comprehensive,17.4,1497.0,145.0,5.0,4,4,No,No,FWD,Power,510.0,Chennai
Honda,2015,Sedan,Manual,Petrol,108818,1,530000.0,Third Party insurance,17.4,1497.0,145.0,5.0,4,4,No,No,FWD,Electronic,510.0,Chennai
Maruti,2017,Hatchback,Manual,Petrol,35419,1,678000.0,Third Party insurance,21.01,1197.0,113.0,5.0,4,4,No,No,FWD,Electronic,339.0,Chennai
Mercedes-Benz,2011,Sedan,Automatic,Diesel,80000,2,1200000.0,Third Party insurance,19.71,2143.0,500.0,5.0,4,4,No,Yes,RWD,Power,480.0,Chennai
Renault,2014,Sedan,Manual,Diesel,100000,2,524000.0,Third Party insurance,20.4,1461.0,240.0,5.0,4,4,No,Yes,FWD,Power,530.0,Chennai
Audi,2014,Sedan,Automatic,Diesel,12000,1,2150000.0,Comprehensive,17.11,1968.0,380.0,5.0,4,4,No,Yes,FWD,Power,480.0,Chennai
Hyundai,2011,Sedan,Manual,Diesel,70001,1,675000.0,Comprehensive,22.32,1582.0,259.8,5.0,4,4,No,Yes,FWD,Power,465.0,Chennai
Hyundai,2014,Sedan,Manual,Diesel,61331,1,470000.0,Comprehensive,24.4,1120.0,180.4,5.0,3,4,No,No,Front Wheel Drive,Power,407.0,Chennai
Honda,2014,Sedan,Manual,Diesel,51438,1,530000.0,Third Party insurance,25.8,1498.0,200.0,5.0,4,4,No,Yes,FWD,Power,400.0,Chennai
Hyundai,2019,Hatchback,Manual,Petrol,67988,1,463000.0,Comprehensive,20.3,1086.0,99.0,5.0,4,3,No,No,FWD,Power,235.0,Chennai
Honda,2019,Hatchback,Automatic,Petrol,36032,2,727000.0,Zero Dep,18.2,1199.0,110.0,5.0,4,4,No,No,FWD,Power,354.0,Chennai
Honda,2015,Sedan,Manual,Petrol,114883,1,515000.0,Comprehensive,17.4,1497.0,145.0,5.0,4,4,No,No,FWD,Electronic,510.0,Chennai
Maruti,2016,Sedan,Manual,Petrol,88584,1,547000.0,Zero Dep,22.41,1197.0,113.0,5.0,4,4,No,No,FWD,Electronic,378.0,Chennai
Maruti,2012,Hatchback,Manual,Diesel,97419,2,307000.0,Third Party insurance,23.2,1248.0,190.0,5.0,4,4,No,Yes,FWD,Power,236.0,Chennai
BMW,2019,SUV,Automatic,Petrol,70000,1,4800000.0,Third Party insurance,13.17,1998.0,350.0,5.0,4,4,No,Yes,All Wheel Drive,Power,485.0,Chennai
Ford,2015,SUV,Manual,Diesel,106498,2,529000.0,Comprehensive,22.7,1498.0,204.0,5.0,4,2,No,Yes,FWD,Power,346.0,Chennai
